datetime,snow
20170304 195100,13.73
20170304 195200,13.75
20170304 195300,13.76
20170304 195400,13.77
20170304 195500,13.79
20170304 195600,13.8
20170304 195700,13.81
20170304 195800,13.82
20170304 195900,13.82
20170304 200000,13.83
20170304 200100,13.85
20170304 200200,13.85
20170304 200300,13.85
20170304 200400,13.87
20170304 200500,13.88
20170304 200600,13.89
20170304 200700,13.9
20170304 200800,13.93
20170304 200900,13.91
20170304 201000,13.92
20170304 201100,13.92
20170304 201200,13.93
20170304 201300,13.94
20170304 201400,13.94
20170304 201500,13.95
20170304 201600,13.96
20170304 201700,13.98
20170304 201800,13.98
20170304 201900,13.97
20170304 202000,13.99
20170304 202100,13.99
20170304 202200,13.99
20170304 202300,13.94
20170304 202400,13.99
20170304 202500,14.0
20170304 202600,14.01
20170304 202700,14.01
20170304 202800,14.01
20170304 202900,14.03
20170304 203000,14.05
20170304 203100,13.97
20170304 203200,14.08
20170304 203300,14.04
20170304 203400,14.05
20170304 203500,14.05
20170304 203600,14.06
20170304 203700,14.06
20170304 203800,14.06
20170304 203900,14.06
20170304 204000,14.06
20170304 204100,14.07
20170304 204200,14.05
20170304 204300,14.07
20170304 204400,14.07
20170304 204500,14.07
20170304 204600,14.07
20170304 204700,14.07
20170304 204800,14.07
20170304 204900,14.06
20170304 205000,14.06
20170304 205100,14.06
20170304 205200,14.08
20170304 205300,14.07
20170304 205400,14.07
20170304 205500,14.06
20170304 205600,14.07
20170304 205700,14.06
20170304 205800,14.06
20170304 205900,14.06
20170304 210000,14.06
20170304 210100,14.07
20170304 210200,14.06
20170304 210300,14.06
20170304 210400,14.05
20170304 210500,14.05
20170304 210600,14.04
20170304 210700,14.07
